-0,0,408.567
-0,1e-14,422.178
-0,2e-14,435.835
-0,3e-14,446.693
-0,4e-14,458.974
-0,5e-14,475.022
-0,6e-14,494.288
-0,7e-14,517.751
-0,8e-14,551.422
-0,9e-14,573.863
-1e-07,0,89.9303
-1e-07,1e-14,86.7256
-1e-07,2e-14,85.6819
-1e-07,3e-14,84.7416
-1e-07,4e-14,84.6438
-1e-07,5e-14,83.652
-1e-07,6e-14,83.5453
-1e-07,7e-14,87.726
-1e-07,8e-14,95.6706
-1e-07,9e-14,102.827
-2e-07,0,817.454
-2e-07,1e-14,768.577
-2e-07,2e-14,735.932
-2e-07,3e-14,707.757
-2e-07,4e-14,671.924
-2e-07,5e-14,629.556
-2e-07,6e-14,589.175
-2e-07,7e-14,552.927
-2e-07,8e-14,516.412
-2e-07,9e-14,490.504
-3e-07,0,4189.56
-3e-07,1e-14,3984.23
-3e-07,2e-14,3779.15
-3e-07,3e-14,3578.91
-3e-07,4e-14,3426.87
-3e-07,5e-14,3270.85
-3e-07,6e-14,3141.85
-3e-07,7e-14,3009.24
-3e-07,8e-14,2867.25
-3e-07,9e-14,2722.32
-4e-07,0,21346.2
-4e-07,1e-14,17003
-4e-07,2e-14,16698.1
-4e-07,3e-14,12891.1
-4e-07,4e-14,12092
-4e-07,5e-14,11662.2
-4e-07,6e-14,11124.5
-4e-07,7e-14,10391.9
-4e-07,8e-14,10088.9
-4e-07,9e-14,9463.32
-5e-07,0,57874.8
-5e-07,1e-14,!!fail!!
-5e-07,2e-14,56467.3
-5e-07,3e-14,55498.9
-5e-07,4e-14,54555.7
-5e-07,5e-14,55871.7
-5e-07,6e-14,55874.8
-5e-07,7e-14,!!fail!!
-5e-07,8e-14,54386
-5e-07,9e-14,50827.1
-6e-07,0,!!fail!!
-6e-07,1e-14,!!fail!!
-6e-07,2e-14,!!fail!!
-6e-07,3e-14,!!fail!!
-6e-07,4e-14,!!fail!!
-6e-07,5e-14,!!fail!!
-6e-07,6e-14,!!fail!!
-6e-07,7e-14,!!fail!!
-6e-07,8e-14,!!fail!!
-6e-07,9e-14,!!fail!!
-7e-07,0,!!fail!!
-7e-07,1e-14,!!fail!!
-7e-07,2e-14,!!fail!!
-7e-07,3e-14,!!fail!!
-7e-07,4e-14,!!fail!!
-7e-07,5e-14,!!fail!!
-7e-07,6e-14,!!fail!!
-7e-07,7e-14,!!fail!!
-7e-07,8e-14,!!fail!!
-7e-07,9e-14,!!fail!!
-8e-07,0,!!fail!!
-8e-07,1e-14,!!fail!!
-8e-07,2e-14,!!fail!!
-8e-07,3e-14,!!fail!!
-8e-07,4e-14,!!fail!!
-8e-07,5e-14,!!fail!!
-8e-07,6e-14,!!fail!!
-8e-07,7e-14,!!fail!!
-8e-07,8e-14,!!fail!!
-8e-07,9e-14,!!fail!!
-9e-07,0,!!fail!!
-9e-07,1e-14,!!fail!!
-9e-07,2e-14,!!fail!!
-9e-07,3e-14,!!fail!!
-9e-07,4e-14,!!fail!!
-9e-07,5e-14,!!fail!!
-9e-07,6e-14,!!fail!!
-9e-07,7e-14,!!fail!!
-9e-07,8e-14,!!fail!!
-9e-07,9e-14,!!fail!!
